#Generated by refmet https://www.metabolomicsworkbench.org/databases/refmet/name_to_refmet_form.php								
#with metabolites not found by refmet were searched by hand on HMDB
Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class	hmdb	inchikey
Glyoxylic acid	Glyoxylic acid	C2H2O3	74.0004	Organic acids	Carboxylic acids	Carboxylic acids	HMDB0000119	HHLFWLYXYJOTON-UHFFFAOYSA-N
Glycolic Acid	Glycolic acid	C2H4O3	76.016	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000115	AEMRFAOFKBGASW-UHFFFAOYSA-N
Pyruvic acid	Pyruvic acid	C3H4O3	88.016	Organic acids	Short-chain acids	Short-chain acids	HMDB0000243	LCTONWCANYUPML-UHFFFAOYSA-N
3-Hydroxy Propionate	Hydroxypropionic acid	C3H6O3	90.0317	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000700	ALRHLSYJTWAHJZ-UHFFFAOYSA-N
Lactic acid	Lactic acid	C3H6O3	90.0317	Organic acids	Short-chain acids	Short-chain acids	HMDB0000190	JVTAAEKCZFNVCJ-REOHCLBHSA-N
Acetoacetic acid	Acetoacetic acid	C4H6O3	102.0317	Fatty Acyls	Fatty acids	Oxo FA	HMDB0000060	WDJHALXBUFZDSR-UHFFFAOYSA-N
2-Hydroxy Butyrate	2-Hydroxybutyric acid	C4H8O3	104.0473	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000008	AFENDNXGAFYKQO-VKHMYHEASA-N
3-Hydroxy Isobutyrate	3-Hydroxyisobutyric acid	C4H8O3	104.0473	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000023	DBXBTMSZEOQQDU-VKHMYHEASA-N
uracil	Uracil	C4H4N2O2	112.0273	Nucleic acids	Pyrimidines	Pyrimidines	HMDB0000300	ISAKRJDGNUQOIC-UHFFFAOYSA-N
Fumaric Acid	Fumaric acid	C4H4O4	116.011	Organic acids	TCA acids	TCA acids	HMDB0000134	VZCYOOQTPOCHFL-OWOJBTEDSA-N
2 methyl acetoacetate	2-Methylacetoacetate	C5H8O3	116.0473441	Organic acids	Keto acids	Short-chain keto acids	HMDB0003771	GCXJINGJZAOJHR-GSVOUGTGSA-N
4 amino butyric acid	4-Aminobutyric acid	C5H11NO2	117.079	Fatty Acyls	Fatty acids	Amino FA	HMDB0003681	UZTFMUBKZQVKLK-UHFFFAOYSA-N
Succinic Acid	Succinic acid	C4H6O4	118.0266	Organic acids	TCA acids	TCA acids	HMDB0000254	KDYFGRWQOYBRFD-UHFFFAOYSA-N
2Et 3OH Propionate	2-Ethylhydracrylic acid	C5H10O3	118.063	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000396	ZMZQVAUJTDKQGE-UHFFFAOYSA-N
2-hydroxyisovaleric	2-Hydroxy-3-methylbutyric acid	C5H10O3	118.063	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000407	NGEWQZIDQIYUNV-UHFFFAOYSA-N
3-Hydroxy Isovalerate	3-Hydroxyisovaleric acid	C5H10O3	118.063	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000754	AXFYFNCPONWUHW-UHFFFAOYSA-N
Ethylmalonic Acid	Ethylmalonic acid	C5H8O4	132.0423	Fatty Acyls	Fatty acids	Dicarboxylic acids	HMDB0000622	UKFXDFUAPNAMPJ-UHFFFAOYSA-N
Methylsuccinic Acid	Methylsuccinic acid	C5H8O4	132.0423	Fatty Acyls	Fatty acids	Dicarboxylic acids	HMDB0001844	WXUAQHNMJWJLTG-VKHMYHEASA-N
Malic Acid	Malic acid	C4H6O5	134.0215	Organic acids	TCA acids	TCA acids	HMDB0000156	BJEPYKJPYRNKOW-REOHCLBHSA-N
3-methylglutaconic Acid	3-Methylglutaconic acid	C6H8O4	144.1253	Lipids 	Fatty Acyls	Fatty acids	HMDB0000522	WKRBKYFIJPGYQC-DUXPYHPUSA-N
2-ketoglutaric Acid	Oxoglutaric acid	C5H6O5	146.0215	Organic acids	TCA acids	TCA acids	HMDB0000208	KPGXRSRHYNQIFN-UHFFFAOYSA-N
Adipic Acid	Adipic acid	C6H10O4	146.0579	Fatty Acyls	Fatty acids	Dicarboxylic acids	HMDB0000448	WNLRTRBMVRJNCN-UHFFFAOYSA-N
2-hydroxyglutaric Acid	2-Hydroxyglutaric acid	C5H8O5	148.0372	Fatty Acyls	Fatty acids	Hydroxy FA	HMDB0000694	HWXBTNAVRSUOJR-VKHMYHEASA-N
3-hydroxyglutaric Acid	3-Hydroxyglutaric acid	C5H8O5	148.0372	Organic acids	Hydroxy acids	Beta hydroxy acids	HMDB0000428	ZQHYXNSQOIDNTL-UHFFFAOYSA-N
3-Methyl Crotonyl Glycine	3-Methylcrotonylglycine	C7H11NO3	157.0739	Organic acids	Amino acids and peptides	Amino acids	HMDB0000459	PFWQSHXPNKRLIV-UHFFFAOYSA-N
Tiglylglycine	Tiglylglycine	C7H11NO3	157.0739	Organic acids	Amino acids and peptides	Amino acids	HMDB0000959	WRUSVQOKJIDBLP-HWKANZROSA-N
3-methyl adipic acid	3-Methyladipic acid	C7H12O4	160.0736	Fatty Acyls	Fatty acids	Dicarboxylic acids	HMDB0000555	SYEOWUNSTUDKGM-YFKPBYRVSA-N
3-hydroxyadipic Acid	3-Hydroxy-adipic acid	C6H10O5	162.0528	Fatty Acyls	Fatty acids	Dicarboxylic acids	HMDB0000345	YVOMYDHIQVMMTA-UHFFFAOYSA-N
Uric Acid	Uric acid	C5H4N4O3	168.0283	Nucleic acids	Purines	Xanthines	HMDB0000289	LEHOTFFKMJEONL-UHFFFAOYSA-N
Aconitic acid	cis-Aconitic acid	C6H6O6	174.0164	Organic acids	TCA acids	TCA acids	HMDB0000072	GTZCVFVGUGFEME-IWQZZHSRSA-N
N-Acetyl Aspartate	N-Acetylaspartic acid	C6H9NO5	175.0481	Organic acids	Amino acids and peptides	Amino acids	HMDB0000812	OTCCIMWXFLJLIA-BYPYZUCNSA-N
